
2022-04-30:02:26:21 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\#10090867v1_AAR_Custom_News_Servce_-_Customised_searches_syntax_outline_(BNESER).DOC | contract
2022-04-30:02:26:24 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\18-10-2010_Message_234282 #10090867v1_AAR_Custom_News_Servce_-_Customised_searches_syntax_outline_(BNESER).DOC | contract
2022-04-30:02:26:24 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\18-10-2010_Message_234283 #10090867v1_AAR_Custom_News_Servce_-_Customised_searches_syntax_outline_(BNESER).DOC | contract
2022-04-30:02:26:24 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\18-10-2010_Message_234286 #10090867v1_AAR_Custom_News_Servce_-_Customised_searches_syntax_outline_(BNESER).DOC | contract
2022-04-30:02:26:25 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\2008_03_28_email version.DOC | contract
2022-04-30:02:26:27 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\27-3-2019_Message_30785937 A10002476.pdf | contract
2022-04-30:02:26:27 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\28-3-2010_Message_129117 #10090867v1_AAR_Custom_News_Servce_-_Customised_searches_syntax_outline_(BNESER).DOC | contract
2022-04-30:02:26:27 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\3-2-2009_Message_6501 LN & EY - agmt (draft).DOC | contract
2022-04-30:02:26:27 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\4-7-2010_Message_165992 DOCSHBCC-#1927795-v1-2010_11_Search_Applications_to_be_emailed_to_sols_.DOC | paperwork
2022-04-30:02:26:27 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277713 BMR - amendments to LexisNexis SSA.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277714 BMR - amendments to LexisNexis SSA.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277714 Goldman Sachs LexisNexis Information Solution Agreement.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277729 BMR - amendments to LexisNexis SSA.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277740 BMR - amendments to LexisNexis SSA.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\5-12-2010_Message_277740 Goldman Sachs LexisNexis Information Solution Agreement.DOC | contract
2022-04-30:02:26:28 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\7-3-2011_Message_342381 Project brief - legal information document for Managing Digital Records course.DOC | contract
2022-04-30:02:26:29 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\A10002273.pdf | contract
2022-04-30:02:26:29 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\A10002380.pdf | contract
2022-04-30:02:26:29 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\A10002467.pdf | contract
2022-04-30:02:26:29 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\A10002476.pdf | contract
2022-04-30:02:26:33 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\BMR SSA addendum amendments.DOC | addendum
2022-04-30:02:26:33 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\Contract 5 - CapMon SFTP.DOC | contract
2022-04-30:02:26:33 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\Contract Template - Member University Agreement_13-10-14_FINAL.DOC | contract
2022-04-30:02:26:34 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\Dept of Sustainability and Enviornment - Housing Newsletter March 2011.DOC | contract
2022-04-30:02:26:34 - in C:\Users\Pratik Kuyate\OneDrive - Livestrong Technologies\Read File\files\DOCSHBCC-#1927795-v1-2010_11_Search_Applications_to_be_emailed_to_sols_.DOC | paperwork
